,Condition,Method,replicate,Quartet Type,Branch Type,l-true,l-est,log10(l-true),log10(l-est),|l-true - l-est|,log10(l-est/l-true)
75,no_variation,CASTLES (Taylor 33),016,unbalanced,terminal,0.19808998,0.2156921771736681,-0.7031374918555279,-0.6661656058103782,0.017602197173668094,0.036971886045149734
76,no_variation,CASTLES (Taylor 33),016,unbalanced,terminal,0.05061711,0.06791779722251008,-1.2957026546515398,-1.1680164080058903,0.017300687222510082,0.12768624664564945
77,no_variation,CASTLES (Taylor 33),016,unbalanced,terminal,0.05183185,0.06921689176340497,-1.28540328989763,-1.1597879069244414,0.017385041763404968,0.12561538297318856
78,no_variation,CASTLES (Taylor 33),016,unbalanced,internal,0.1058603,0.07381152302899878,-0.9752668795856355,-1.1318758333360293,0.032048776971001225,-0.15660895375039371
79,no_variation,CASTLES (Taylor 33),016,unbalanced,terminal,0.1567243,0.18095590752841736,-0.8048636612357972,-0.7424272342462257,0.024231607528417354,0.06243642698957149
80,no_variation,CASTLES (Taylor 33),017,unbalanced,terminal,0.16624501,0.17924020770320487,-0.7792513815856914,-0.7465645614990999,0.01299519770320487,0.0326868200865915
81,no_variation,CASTLES (Taylor 33),017,unbalanced,terminal,0.14673732,0.15915438414733643,-0.8334594171124116,-0.7981813935822719,0.012417064147336426,0.03527802353013973
82,no_variation,CASTLES (Taylor 33),017,unbalanced,terminal,0.14925524,0.1606272467141159,-0.8260704128743894,-0.7941807847489475,0.011372006714115895,0.031889628125442
83,no_variation,CASTLES (Taylor 33),017,unbalanced,internal,0.01842435,0.011667601521142735,-1.7346078248470773,-1.9330184115801308,0.0067567484788572645,-0.19841058673305345
84,no_variation,CASTLES (Taylor 33),017,unbalanced,terminal,0.31473887,0.31973335162088223,-0.5020496187516288,-0.4952120597888534,0.00499448162088223,0.006837558962775374
85,no_variation,CASTLES (Taylor 33),018,unbalanced,terminal,0.38948606,0.4348589087974265,-0.40950808144049555,-0.3616516282639663,0.04537284879742648,0.04785645317652923
86,no_variation,CASTLES (Taylor 33),018,unbalanced,terminal,0.10712976,0.13833446185072035,-0.9700898680250373,-0.8590696150663063,0.031204701850720343,0.111020252958731
87,no_variation,CASTLES (Taylor 33),018,unbalanced,terminal,0.10736241,0.13870304512438975,-0.9691477483118748,-0.8579140042028361,0.03134063512438974,0.11123374410903861
88,no_variation,CASTLES (Taylor 33),018,unbalanced,internal,0.28195164,0.21393901877152727,-0.549825374950858,-0.6697100004131582,0.06801262122847274,-0.11988462546230015
89,no_variation,CASTLES (Taylor 33),018,unbalanced,terminal,0.570334,0.5468209722526731,-0.24387073752896765,-0.2621548372663506,0.023513027747326887,-0.018284099737382927
90,no_variation,CASTLES (Taylor 33),019,balanced,terminal,0.12101835,0.152888730845701,-0.9171487726627232,-0.8156245244757908,0.03187038084570101,0.10152424818693237
91,no_variation,CASTLES (Taylor 33),019,balanced,terminal,0.12250906,0.1570025780667911,-0.9118317924218216,-0.8040932161831945,0.0344935180667911,0.10773857623862704
92,no_variation,CASTLES (Taylor 33),019,balanced,internal,0.23903489,0.18511563948447005,-0.6215387039532304,-0.732556888352011,0.053919250515529954,-0.11101818439878054
93,no_variation,CASTLES (Taylor 33),019,balanced,terminal,0.07965662,0.11113429322262461,-1.0987781255753448,-0.9541519081224978,0.03147767322262461,0.14462621745284696
94,no_variation,CASTLES (Taylor 33),019,balanced,terminal,0.07856941,0.10944877327017857,-1.104746508083391,-0.9607891017523116,0.030879363270178567,0.1439574063310792
95,no_variation,CASTLES (Taylor 33),020,unbalanced,terminal,0.00852917,0.019638265575588537,-2.069093229319976,-1.706896871142411,0.011109095575588536,0.36219635817756474
96,no_variation,CASTLES (Taylor 33),020,unbalanced,terminal,0.00853762,0.01954377789335618,-2.0686631790677668,-1.708991481576879,0.01100615789335618,0.3596716974908879
97,no_variation,CASTLES (Taylor 33),020,unbalanced,internal,0.09077404,0.06441406007386569,-1.0420383353636489,-1.1910193260248887,0.026359979926134314,-0.14898099066123985
98,no_variation,CASTLES (Taylor 33),020,unbalanced,terminal,0.09931106,0.11776906903143745,-1.0030023826275298,-0.9289687580451741,0.018458009031437447,0.07403362458235585
99,no_variation,CASTLES (Taylor 33),020,unbalanced,terminal,0.11510895,0.11824809824678281,-0.938890907608264,-0.9272058351784778,0.003139148246782811,0.01168507242978617
100,no_variation,CASTLES (Taylor 33),021,unbalanced,terminal,0.02417856,0.027866624577982266,-1.616569567936642,-1.5549156332219327,0.003688064577982264,0.06165393471470941
101,no_variation,CASTLES (Taylor 33),021,unbalanced,terminal,0.02339803,0.027426280627034436,-1.6308207065276918,-1.5618330845820751,0.004028250627034435,0.06898762194561676
102,no_variation,CASTLES (Taylor 33),021,unbalanced,internal,0.02399846,0.018783582450556183,-1.6198166264117613,-1.7262215744696867,0.0052148775494438165,-0.10640494805792536
103,no_variation,CASTLES (Taylor 33),021,unbalanced,terminal,0.04755476,0.04775229101530552,-1.3228060057871354,-1.3210057874009309,0.00019753101530552153,0.0018002183862043059
104,no_variation,CASTLES (Taylor 33),021,unbalanced,terminal,0.26549592,0.24837860966027184,-0.575942148537695,-0.6048858082801304,0.01711731033972816,-0.02894365974243535
105,no_variation,CASTLES (Taylor 33),022,unbalanced,terminal,0.16748469,0.17689554522919293,-0.7760248862534518,-0.7522831038157718,0.009410855229192938,0.023741782437679958
106,no_variation,CASTLES (Taylor 33),022,unbalanced,terminal,0.0007049,0.012392753615820554,-3.151872489432125,-1.9068321845612546,0.011687853615820554,1.2450403048708705
107,no_variation,CASTLES (Taylor 33),022,unbalanced,terminal,0.00073049,0.012624342995619986,-3.136385724937823,-1.8987912144609012,0.011893852995619986,1.2375945104769217
108,no_variation,CASTLES (Taylor 33),022,unbalanced,internal,0.10998821,0.08313069538010064,-0.9586538658087249,-1.0802385866522328,0.026857514619899367,-0.1215847208435079
109,no_variation,CASTLES (Taylor 33),022,unbalanced,terminal,0.11080004,0.12647734270218694,-0.9554600828226059,-0.8979872675374242,0.015677302702186938,0.05747281528518166
110,no_variation,CASTLES (Taylor 33),023,unbalanced,terminal,0.16174994,0.16402610134343967,-0.7911558717577086,-0.785087037516569,0.0022761613434396644,0.0060688342411395575
111,no_variation,CASTLES (Taylor 33),023,unbalanced,terminal,0.0608584,0.07043870049332482,-1.2156794696627882,-1.1521886648254895,0.009580300493324818,0.06349080483729856
112,no_variation,CASTLES (Taylor 33),023,unbalanced,terminal,0.06058558,0.07061588879515149,-1.2176307301512588,-1.1510975703406525,0.010030308795151488,0.06653315981060635
113,no_variation,CASTLES (Taylor 33),023,unbalanced,internal,0.04893345,0.035200504121255326,-1.310394163697598,-1.4534511167630155,0.013732945878744678,-0.14305695306541744
114,no_variation,CASTLES (Taylor 33),023,unbalanced,terminal,0.10913869,0.11881501458551487,-0.9620212633912979,-0.92512867434129,0.009676324585514873,0.0368925890500078
115,no_variation,CASTLES (Taylor 33),024,balanced,terminal,0.10796992,0.13900932935476967,-0.9666972204165476,-0.8569560518945928,0.031039409354769676,0.10974116852195477
116,no_variation,CASTLES (Taylor 33),024,balanced,terminal,0.10602297,0.1388931079712708,-0.9746000341357679,-0.8573193038974254,0.03287013797127081,0.1172807302383426
117,no_variation,CASTLES (Taylor 33),024,balanced,internal,0.06850565,0.04560922984473775,-1.1642736086151226,-1.3409472611728863,0.022896420155262248,-0.1766736525577638
118,no_variation,CASTLES (Taylor 33),024,balanced,terminal,0.0723105,0.09259330363309304,-1.1407986354722046,-1.0334204204493247,0.02028280363309304,0.10737821502287984
119,no_variation,CASTLES (Taylor 33),024,balanced,terminal,0.07309725,0.0924798727747409,-1.1360989613771681,-1.0339527763853325,0.0193826227747409,0.10214618499183564
120,no_variation,CASTLES (Taylor 33),025,balanced,terminal,0.01318983,0.022721218109405236,-1.8797608019166907,-1.6435683893337223,0.009531388109405237,0.2361924125829683
121,no_variation,CASTLES (Taylor 33),025,balanced,terminal,0.01301614,0.02286611588853517,-1.8855177888280752,-1.6408075997760618,0.009849975888535168,0.24471018905201353
122,no_variation,CASTLES (Taylor 33),025,balanced,internal,0.13146591,0.10665271374495074,-0.8811868480734883,-0.9720280895866746,0.024813196255049255,-0.09084124151318632
123,no_variation,CASTLES (Taylor 33),025,balanced,terminal,0.0372984,0.0480093428795295,-1.4283097978447943,-1.318674238328842,0.010710942879529499,0.10963555951595234
124,no_variation,CASTLES (Taylor 33),025,balanced,terminal,0.03705858,0.048406284532905894,-1.4311112258692362,-1.3150982507361397,0.011347704532905893,0.11601297513309666
125,no_variation,CASTLES (Taylor 33),026,unbalanced,terminal,0.12271005,0.13566870841618342,-0.91111986693229,-0.8675203095199253,0.012958658416183419,0.04359955741236468
126,no_variation,CASTLES (Taylor 33),026,unbalanced,terminal,0.02879488,0.040720868326140344,-1.5406847270124018,-1.3901829697373462,0.011925988326140346,0.1505017572750555
127,no_variation,CASTLES (Taylor 33),026,unbalanced,terminal,0.02916029,0.04159723219888514,-1.5352081612603221,-1.3809355655449174,0.012436942198885144,0.15427259571540478
128,no_variation,CASTLES (Taylor 33),026,unbalanced,internal,0.09547035,0.06914759145860205,-1.0201314852826928,-1.1602229425894603,0.026322758541397942,-0.14009145730676753
129,no_variation,CASTLES (Taylor 33),026,unbalanced,terminal,0.20189405,0.20562367585431213,-0.6948764799183921,-0.686926881403906,0.0037296258543121352,0.00794959851448613
130,no_variation,CASTLES (Taylor 33),027,balanced,terminal,0.08563791,0.10356305282449632,-1.0673339402396151,-0.9847951559458225,0.017925142824496323,0.08253878429379265
131,no_variation,CASTLES (Taylor 33),027,balanced,terminal,0.08727591,0.10504353309020245,-1.059105614230562,-0.9786306793807413,0.017767623090202453,0.08047493484982061
132,no_variation,CASTLES (Taylor 33),027,balanced,internal,0.06250329,0.04618517765386076,-1.2040971219960848,-1.3354973814999704,0.016318112346139245,-0.13140025950388567
133,no_variation,CASTLES (Taylor 33),027,balanced,terminal,0.1321575,0.1728591521409598,-0.8789081854177156,-0.7623076215072129,0.040701652140959776,0.11660056391050276
134,no_variation,CASTLES (Taylor 33),027,balanced,terminal,0.13633635,0.17687120679882465,-0.8653883371241103,-0.7523428609634586,0.04053485679882465,0.1130454761606517
135,no_variation,CASTLES (Taylor 33),028,unbalanced,terminal,0.13642097,0.14323449646114553,-0.8651188668108099,-0.8439523743571026,0.006813526461145525,0.0211664924537074
136,no_variation,CASTLES (Taylor 33),028,unbalanced,terminal,0.00689896,0.022051438538039106,-2.1612163730748053,-1.656563073826346,0.015152478538039107,0.5046532992484591
137,no_variation,CASTLES (Taylor 33),028,unbalanced,terminal,0.00678378,0.02156820873290921,-2.1685282448219905,-1.666185922107311,0.014784428732909211,0.5023423227146795
138,no_variation,CASTLES (Taylor 33),028,unbalanced,internal,0.12457533,0.09154876654883536,-0.9045679537094705,-1.0383475026418385,0.03302656345116464,-0.13377954893236788
