,Condition,Method,replicate,RMSE,Log Error,#Negative Branches,RMSE (terminal),Log Error (terminal),#Negative Branches (terminal),RMSE (internal),Log Error (internal),#Negative Branches (internal)
104,no_variation,CASTLES (Integrals),105,0.02136182512785153,0.19267785326174983,0,0.02495743281296868,0.08155512232868414,0,0.011101162693656701,0.41492331512788116,0
105,no_variation,CASTLES (Integrals),106,0.002134104626430462,0.09346049606958529,0,0.0024263056074029002,0.10752118115884862,0,0.0013745144119383377,0.06533912589105863,0
106,no_variation,CASTLES (Integrals),107,0.0049191157336636974,0.019004310409682406,0,0.0058041693437051005,0.024252727056773574,0,0.0022839297849804835,0.008507477115500076,0
107,no_variation,CASTLES (Integrals),108,0.0027554813492204674,0.030611536884832948,0,0.002857686154119416,0.0433477100419033,0,0.002538757981142336,0.005139190570692243,0
108,no_variation,CASTLES (Integrals),109,0.009607889514469233,0.041997128202437485,0,0.01104629712236292,0.03082888741127638,0,0.005735264818270979,0.06433360978475969,0
109,no_variation,CASTLES (Integrals),110,0.08481250142744504,0.055449443035890944,0,0.10140036687821215,0.06087283522768762,0,0.031865536070636816,0.044602658652297594,0
110,no_variation,CASTLES (Integrals),111,0.008991126179618496,0.017929740444964717,0,0.010757997525218214,0.02071224700050798,0,0.0033244591181515308,0.012364727333878204,0
111,no_variation,CASTLES (Integrals),112,0.007663378004178982,0.044956545368148686,0,0.008446090844468344,0.03206467805729565,0,0.005788711963708226,0.07074027998985477,0
112,no_variation,CASTLES (Integrals),113,0.0023843398934249222,0.0055860732739674,0,0.002919975085196306,0.008292611650027757,0,5.216498632568294e-05,0.00017299652184668673,0
113,no_variation,CASTLES (Integrals),114,0.010309549695112455,0.03517779966101578,0,0.012566424479201648,0.04542445538331074,0,0.0017408033677078906,0.014684488216425855,0
114,no_variation,CASTLES (Integrals),115,0.010795961948299383,0.043240567066339115,0,0.013174593205704885,0.04867296739449624,0,0.0015870005972821494,0.032375766410024855,0
115,no_variation,CASTLES (Integrals),116,0.008292319773426067,0.02843236949656043,0,0.009817181055753717,0.034085111865299736,0,0.0036788060442702825,0.017126884759081824,0
116,no_variation,CASTLES (Integrals),117,0.004741693116184373,0.039310870556229456,0,0.005783157023384276,0.058170710665023384,0,0.000749099799741685,0.0015911903386416093,0
117,no_variation,CASTLES (Integrals),118,0.003431846563241981,0.013244688972349374,0,0.0040286813221565125,0.01343554821342944,0,0.0016947466211566537,0.012862970490189243,0
118,no_variation,CASTLES (Integrals),119,0.003553556405312777,0.007899991874593497,0,0.004311286125462015,0.009109399376250955,0,0.0008419698723920318,0.005481176871278578,0
119,no_variation,CASTLES (Integrals),120,0.009610547970892025,0.05676570852362891,0,0.011634704048223154,0.08232240701641452,0,0.0025209562318632066,0.005652311538057678,0
120,no_variation,CASTLES (Integrals),121,0.010268752944009744,0.02492943699787632,0,0.012212201005284574,0.030399471817396714,0,0.00425042989453764,0.013989367358835532,0
121,no_variation,CASTLES (Integrals),122,0.004818289723645096,0.01773038294687225,0,0.005892955814977609,0.025497372439649463,0,0.00044033068073321774,0.002196403961317824,0
122,no_variation,CASTLES (Integrals),123,0.001784655400136548,0.02667366966897412,0,0.0016641480582324049,0.021169029480116768,0,0.0020040476971051008,0.03768295004668882,0
123,no_variation,CASTLES (Integrals),124,0.018181954641803916,0.1827263299939891,0,0.01993323897685444,0.1838166965809614,0,0.014038603619059365,0.18054559682004462,0
124,no_variation,CASTLES (Integrals),125,0.007202243093231069,0.014015468028145581,0,0.008792231212947987,0.019493074630424413,0,0.0010051155745038776,0.003060254823587922,0
125,no_variation,CASTLES (Integrals),126,0.0032298309669156647,0.15373799397356977,0,0.0031212768847874344,0.21449095598124432,0,0.0034366677816637194,0.03223206995822066,0
126,no_variation,CASTLES (Integrals),127,0.017836494284704244,0.04425840100669302,0,0.021823438193930376,0.06533588720958088,0,0.0013771985682039748,0.0021034286009172986,0
127,no_variation,CASTLES (Integrals),128,0.004766596863615208,0.017734920916257238,0,0.005784471842681935,0.022294131404289732,0,0.0011140502605891443,0.008616499940192247,0
128,no_variation,CASTLES (Integrals),129,0.01350505206689477,0.05174253095689171,0,0.016344639181404132,0.06734254113369142,0,0.0035867581529890964,0.020542510603292263,0
129,no_variation,CASTLES (Integrals),130,0.015459146598855781,0.019715221671319328,0,0.018501910976217218,0.024550300097054473,0,0.00568455989070467,0.010045064819849042,0
130,no_variation,CASTLES (Integrals),131,0.002136113359029408,0.026445964794052253,0,0.0024438358502976154,0.03201908002648462,0,0.0013207094765587029,0.015299734329187522,0
131,no_variation,CASTLES (Integrals),132,0.0024863897022720126,0.023279735293272746,0,0.003027242227167302,0.03406857382596285,0,0.0004669156784722791,0.001702058227892536,0
132,no_variation,CASTLES (Integrals),133,0.014327188979410842,0.03898459011984153,0,0.01744473877329514,0.05327075074621896,0,0.002677164622924884,0.010412268867086674,0
133,no_variation,CASTLES (Integrals),134,0.008157547962293014,0.015312861527882008,0,0.009629405003375483,0.016491510610570193,0,0.003766415382464754,0.012955563362505643,0
134,no_variation,CASTLES (Integrals),135,0.01580318687686522,0.09180886217859247,0,0.01668288041134094,0.02860066423427158,0,0.01387750513446739,0.21822525806723425,0
135,no_variation,CASTLES (Integrals),136,0.005521561491557807,0.012892630224152735,0,0.006743386990319554,0.01439878076930211,0,0.0007186012195509956,0.009880329133853984,0
136,no_variation,CASTLES (Integrals),137,0.004801624588037354,0.19688635121518408,0,0.005651463689378678,0.2941698456810977,0,0.002299720067443719,0.0023193622833569175,0
137,no_variation,CASTLES (Integrals),138,0.008882307293276779,0.07108514813566387,0,0.01000698292095783,0.09826020982798217,0,0.006033799316840936,0.01673502475102725,0
138,no_variation,CASTLES (Integrals),139,0.0029703532543482957,0.029940543162879234,0,0.003421922245012663,0.042529410442942825,0,0.0017463939031694777,0.004762808602752038,0
139,no_variation,CASTLES (Integrals),140,0.007156879221086902,0.03812766705341952,0,0.0083311269186454,0.03489316322412654,0,0.0038532335883670913,0.04459667471200548,0
140,no_variation,CASTLES (Integrals),141,0.006348309391738525,0.053662183252643214,0,0.007772752917713864,0.08028623591410598,0,0.00026780694548113245,0.00041407792971767866,0
141,no_variation,CASTLES (Integrals),142,0.0025938617971700897,0.029695687408267696,0,0.0030478337203864634,0.022401537753160693,0,0.0012671922877786788,0.0442839867184817,0
142,no_variation,CASTLES (Integrals),143,0.009779653649745746,0.0255245082896908,0,0.011972897840370757,0.037055436902629,0,0.0004736149649730065,0.0024626510638144005,0
143,no_variation,CASTLES (Integrals),144,0.018909656405956123,0.03915484686417488,0,0.022490056196826133,0.05068027270635545,0,0.00781793199645259,0.01610399517981373,0
144,no_variation,CASTLES (Integrals),145,0.002523812088909032,0.029407392460085002,0,0.0007079960376843317,0.04116951202284535,0,0.00425515752958885,0.0058831533345643046,0
145,no_variation,CASTLES (Integrals),146,0.01003788720664584,0.03846681084479755,0,0.012195333093460062,0.05217690962472988,0,0.0021966429384741213,0.01104661328493288,0
146,no_variation,CASTLES (Integrals),147,0.006138337021883539,0.05381177807046811,0,0.00747130806515753,0.0800067701738505,0,0.0011818019181327802,0.0014217938637033154,0
147,no_variation,CASTLES (Integrals),148,0.017383185537683764,0.08496505598616132,0,0.020305628345062467,0.11746532605137207,0,0.009049217277588456,0.019964515855739804,0
148,no_variation,CASTLES (Integrals),149,0.003938148715153111,0.04926385703382055,0,0.0035842529242842065,0.061374074886087884,0,0.004564351855138528,0.025043421329285897,0
149,no_variation,CASTLES (Integrals),150,0.013580220645503745,0.03996563970270371,0,0.016455544464801835,0.05028235455523229,0,0.0034201302717232567,0.019332209997646548,0
150,no_variation,CASTLES (Integrals),151,0.0018094002005466852,0.055631351473487,0,0.002185264625983988,0.08270325413267532,0,0.0005205999289870077,0.0014875461551103462,0
151,no_variation,CASTLES (Integrals),152,0.003892930409784709,0.04382022868458643,0,0.004581909808181952,0.06501549048306257,0,0.0018646518564203003,0.0014297050876341645,0
152,no_variation,CASTLES (Integrals),153,0.0023610862877840207,0.026782189405336315,0,0.0018608979626173262,0.03648993415881489,0,0.0031302241006896858,0.007366699898379164,0
153,no_variation,CASTLES (Integrals),154,0.0030201972561590073,0.03839632450057457,0,0.0027332500543583464,0.05181614401548673,0,0.0035246932744611103,0.011556685470750257,0
154,no_variation,CASTLES (Integrals),155,0.008856943170793045,0.020177980062788193,0,0.010738805755105796,0.026660984625018695,0,0.0021662014911328006,0.007211970938327183,0
155,no_variation,CASTLES (Integrals),156,0.00758270597532757,0.013154231439897737,0,0.00928396391828378,0.019056697669848518,0,0.00032911647302295345,0.00134929897999617,0
156,no_variation,CASTLES (Integrals),157,0.01100327662527328,0.032936112538899796,0,0.012885906733688859,0.04496915688437364,0,0.0055788085446805144,0.008870023847952095,0
